experiment,overall_f1,boolean,categorical,numeric,open_textual
7_open_ai_test_ft_4o_mini,0.9661590524534687,0.9831288343558282,0.8695652173913043,0.9363636363636364,0.9803921568627451
gemma3_27b_it_baseline_v2,0.9010791366906474,0.8968386023294509,0.8983050847457628,0.9014084507042254,0.9736842105263158
4_open_ai_test_4o,0.8812938663411657,0.8564036222509702,0.9285714285714286,0.9387755102040817,0.9803921568627451
phi4_4b_finetune_unsloth,0.8799266727772685,0.8880503144654088,0.8760806916426513,0.8329177057356608,0.8857142857142857
6_open_ai_test-o3-mini,0.8660686668728735,0.8573890564411891,0.803680981595092,0.9241379310344827,0.9668874172185431
gemma3_12b_it_baseline_v2,0.8653667595171773,0.8714893617021277,0.7962962962962963,0.8472906403940886,0.9668874172185431
open_ai_test_gpt-4.1-2025-04-14,0.8600746268656716,0.8270676691729323,0.9256198347107438,0.9339407744874715,0.9803921568627451
phi4_4b_baseline_unsloth,0.8554480174836091,0.8454505877231171,0.8760806916426513,0.8668280871670703,0.9315068493150684
llama_3.1_8b_baseline,0.8475322225715184,0.8459530026109661,0.8109756097560976,0.8444444444444444,0.96
llama_3.2_3B_ft_unsloth_2025-04-13_17-52-07,0.8391386953768207,0.8383705650459922,0.8563049853372434,0.8151898734177215,0.8776978417266187
3_open_ai_test_4o-mini,0.8313675486133248,0.8048670572329878,0.8920454545454546,0.8695652173913043,0.9736842105263158
open_ai_test_gpt4.1mini,0.8212218649517685,0.7823691460055097,0.9014084507042254,0.9065420560747663,0.9530201342281879
open_ai_test_gpt-4.1-nano,0.7944755014797764,0.7601683029453016,0.8073394495412844,0.8909952606635071,0.9803921568627451
llama_3.2_3b_baseline,0.7032189600282985,0.7365412101000477,0.4942084942084942,0.6275659824046921,0.78125
gemma3_1b_it_baseline,0.0,0.0,0.0,0.0,0.0
